,building_blocks
0,Nc1ccnc(Cl)c1
1,Nc1cncc(F)c1
2,Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1
3,Nc1nc(-c2cccnc2)cs1
4,Nc1nc(Cl)cc(Cl)n1
5,Nc1nc(Cl)ncc1Cl
6,Nc1ncc(Cl)c(Cl)n1
7,Nc1ncc(Cl)nc1Cl
8,Nc1ncc(F)cn1
9,Nc1ncc([N+](=O)[O-])cn1
10,Nc1ncc([N+](=O)[O-])s1
11,Nc1ncc[nH]c1=O
12,Nc1ncncc1Br
13,Nc1noc2ccc(F)cc12
14,C=CCNC(=O)CN.Cl
15,C=CCSCCN
16,CC(=O)SCCN.Cl
17,CC(=O)c1cccc(N)c1
18,CC(C)(C)NS(=O)(=O)c1cccc(N)c1
19,CC(C)(C)OC(=O)n1ncc2cc(N)ccc21
20,CC(C)(C)c1ccc(O)c(N)c1
21,CC(C)(C)c1ocnc1CN.Cl
22,CC(C)Cn1cnc2c(N)nc3ccccc3c21
23,CC(CN)N1CCC1
24,CC(CN)Oc1ccc(Cl)cc1
25,CC(F)(F)CN.Cl
26,CC1(C)CCOC1CCN
27,CC1(CN)CCC2(CC1)OCCO2
28,CC12CCC(CN)(C1)OC2.Cl
29,CCC#CCN
30,CCN1C(=O)C[C@H](CN)[C@H]1c1ccncc1
31,CCOC(=O)c1ccc(O)c(N)c1
32,CCOC(=O)c1cnc(N)cn1
33,CCON(CC)C(=O)CN.Cl
34,CCOc1cc(N)ccn1
35,CCS(=O)(=O)N1CC(CN)C1.Cl
36,CCSCCN.Cl
37,CN(C)C(=O)C1CCC(CN)O1.Cl
38,CN(C)c1nc(Cl)c(CN)s1.Cl.Cl
39,CN(CC(F)(F)F)C(=O)CN.Cl
40,CN1CCN(C(=O)CCN)CC1
41,CN1CCN(C(=O)CN)CC1
42,CN1CCN(CCN)CC1
43,CN1CCN(Cc2cccc(N)c2)CC1
44,CN1CCN(c2ccc(N)cc2F)CC1
45,CNC(=O)C(O)CN.Cl
46,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1
47,COC(=O)c1ccc(N)cc1O
48,COC(=O)c1ccnc(N)c1
49,COC(=O)c1cnc(N)cn1
50,COC(=O)c1cnccc1N
51,COC(=O)c1nc(Cl)c(Cl)nc1N
52,COC(=O)c1scnc1N
53,COC(CN)C1CCOC1
54,COC1(C(F)(F)CN)CCOCC1.Cl
55,COC[C@H](CN)OC
56,COc1cc(F)ccc1N
57,COc1ccc(N)cc1OC
58,COc1ccc(N)cn1
59,COc1ccc(N)nc1
60,COc1ccc(O)c(N)c1
61,COc1cccc(-c2cc(N)on2)c1
62,COc1cccc(N)c1F
63,COc1ccnc(N)n1
64,COc1nc(Cl)ncc1N
65,COc1ncc(N)cn1
66,CS(=O)(=O)CC1(CN)CCOCC1.Cl
67,CS(=O)(=O)Nc1ccc(-c2csc(N)n2)cc1
68,C[Si](C)(C)C#Cc1ccc(N)cn1
69,Cc1c(Br)cncc1CN.Cl.Cl
70,Cc1c(N)cccc1Br
71,Cc1c(N)cccc1F
72,Cc1cc(=O)oc2cc(N)ccc12
